Year,borough,geography,geography_id,Mean (mcg per cubic meter),10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),
Summer 2011,Manhattan, Clinton and Chelsea (CD4),104,13.5 ,12.2 ,14.8 ,
Summer 2012,Manhattan, Clinton and Chelsea (CD4),104,12.5 ,11.1 ,13.9 ,
Summer 2013,Manhattan, Clinton and Chelsea (CD4),104,12.5 ,11.0 ,14.0 ,
Summer 2014,Manhattan, Clinton and Chelsea (CD4),104,11.1 ,9.8 ,12.4 ,
Winter 2008-09,Manhattan, Clinton and Chelsea (CD4),104,15.5 ,13.7 ,17.4 ,
Winter 2009-10,Manhattan, Clinton and Chelsea (CD4),104,11.7 ,9.6 ,13.9 ,
Winter 2010-11,Manhattan, Clinton and Chelsea (CD4),104,15.0 ,13.8 ,16.3 ,
Winter 2011-12,Manhattan, Clinton and Chelsea (CD4),104,11.5 ,9.9 ,13.0 ,
Winter 2012-13,Manhattan, Clinton and Chelsea (CD4),104,13.3 ,11.7 ,14.9 ,
Winter 2013-14,Manhattan, Clinton and Chelsea (CD4),104,14.9 ,13.4 ,16.4 ,
Summer 2009,Brooklyn, Coney Island (CD13),313,10.4 ,10.1 ,10.7 ,
Summer 2010,Brooklyn, Coney Island (CD13),313,11.3 ,11.1 ,11.6 ,
Summer 2011,Brooklyn, Coney Island (CD13),313,11.0 ,10.8 ,11.3 ,
Summer 2012,Brooklyn, Coney Island (CD13),313,9.9 ,9.6 ,10.1 ,
Summer 2013,Brooklyn, Coney Island (CD13),313,9.6 ,9.3 ,10.0 ,
Summer 2014,Brooklyn, Coney Island (CD13),313,7.9 ,7.6 ,8.2 ,
Winter 2008-09,Brooklyn, Coney Island (CD13),313,10.8 ,10.4 ,11.2 ,
Winter 2009-10,Brooklyn, Coney Island (CD13),313,8.8 ,8.4 ,9.3 ,
Winter 2010-11,Brooklyn, Coney Island (CD13),313,11.5 ,11.2 ,11.7 ,
Winter 2011-12,Brooklyn, Coney Island (CD13),313,7.9 ,7.5 ,8.2 ,
Winter 2012-13,Brooklyn, Coney Island (CD13),313,9.7 ,9.3 ,10.0 ,
Winter 2013-14,Brooklyn, Coney Island (CD13),313,11.0 ,10.8 ,11.3 ,
Summer 2009,Brooklyn, Crown Heights and Prospect Heights (CD8),308,11.0 ,10.7 ,11.3 ,
Summer 2010,Brooklyn, Crown Heights and Prospect Heights (CD8),308,12.0 ,11.7 ,12.3 ,
Summer 2011,Brooklyn, Crown Heights and Prospect Heights (CD8),308,11.5 ,11.3 ,11.8 ,
Summer 2012,Brooklyn, Crown Heights and Prospect Heights (CD8),308,10.4 ,10.2 ,10.7 ,
Summer 2013,Brooklyn, Crown Heights and Prospect Heights (CD8),308,10.3 ,10.1 ,10.6 ,
Summer 2014,Brooklyn, Crown Heights and Prospect Heights (CD8),308,9.0 ,8.7 ,9.4 ,
Winter 2008-09,Brooklyn, Crown Heights and Prospect Heights (CD8),308,13.7 ,13.4 ,14.0 ,
Winter 2009-10,Brooklyn, Crown Heights and Prospect Heights (CD8),308,10.3 ,10.1 ,10.6 ,
Winter 2010-11,Brooklyn, Crown Heights and Prospect Heights (CD8),308,12.9 ,12.5 ,13.4 ,
Winter 2011-12,Brooklyn, Crown Heights and Prospect Heights (CD8),308,9.6 ,9.2 ,10.1 ,
Winter 2012-13,Brooklyn, Crown Heights and Prospect Heights (CD8),308,10.4 ,10.1 ,10.7 ,
Winter 2013-14,Brooklyn, Crown Heights and Prospect Heights (CD8),308,12.0 ,11.7 ,12.4 ,
Summer 2009,Brooklyn, East Flatbush (CD17),317,10.9 ,10.5 ,11.4 ,
Summer 2010,Brooklyn, East Flatbush (CD17),317,11.9 ,11.6 ,12.4 ,
Summer 2011,Brooklyn, East Flatbush (CD17),317,11.5 ,11.2 ,12.0 ,
Summer 2012,Brooklyn, East Flatbush (CD17),317,10.4 ,10.0 ,10.8 ,
Summer 2013,Brooklyn, East Flatbush (CD17),317,10.3 ,9.9 ,10.8 ,
Summer 2014,Brooklyn, East Flatbush (CD17),317,8.9 ,8.5 ,9.3 ,
Winter 2008-09,Brooklyn, East Flatbush (CD17),317,13.3 ,12.8 ,13.9 ,
Winter 2009-10,Brooklyn, East Flatbush (CD17),317,10.3 ,9.9 ,10.9 ,
Winter 2010-11,Brooklyn, East Flatbush (CD17),317,12.7 ,12.3 ,13.2 ,
Winter 2011-12,Brooklyn, East Flatbush (CD17),317,9.3 ,9.0 ,9.9 ,
Winter 2012-13,Brooklyn, East Flatbush (CD17),317,10.3 ,9.9 ,10.8 ,
Winter 2013-14,Brooklyn, East Flatbush (CD17),317,11.8 ,11.4 ,12.3 ,
Summer 2009,Manhattan, East Harlem (CD11),111,11.5 ,11.1 ,11.9 ,
Summer 2010,Manhattan, East Harlem (CD11),111,12.6 ,12.3 ,13.0 ,
Summer 2011,Manhattan, East Harlem (CD11),111,12.1 ,11.8 ,12.4 ,
Summer 2012,Manhattan, East Harlem (CD11),111,11.0 ,10.7 ,11.4 ,
Summer 2013,Manhattan, East Harlem (CD11),111,10.9 ,10.6 ,11.3 ,
Summer 2014,Manhattan, East Harlem (CD11),111,9.3 ,8.9 ,9.6 ,
Winter 2008-09,Manhattan, East Harlem (CD11),111,14.2 ,13.7 ,14.5 ,
Winter 2009-10,Manhattan, East Harlem (CD11),111,10.8 ,10.3 ,11.2 ,
Winter 2010-11,Manhattan, East Harlem (CD11),111,14.1 ,13.8 ,14.4 ,
Winter 2011-12,Manhattan, East Harlem (CD11),111,10.6 ,10.2 ,10.8 ,
Winter 2012-13,Manhattan, East Harlem (CD11),111,12.0 ,11.6 ,12.3 ,
Winter 2013-14,Manhattan, East Harlem (CD11),111,13.1 ,12.8 ,13.5 ,
Summer 2009,Brooklyn, East New York and Starrett City (CD5),305,10.7 ,10.0 ,11.9 ,
Summer 2010,Brooklyn, East New York and Starrett City (CD5),305,11.9 ,11.2 ,13.0 ,
Summer 2011,Brooklyn, East New York and Starrett City (CD5),305,11.5 ,10.8 ,12.7 ,
Summer 2012,Brooklyn, East New York and Starrett City (CD5),305,10.4 ,9.7 ,11.5 ,
Summer 2013,Brooklyn, East New York and Starrett City (CD5),305,10.3 ,9.6 ,11.5 ,
Summer 2014,Brooklyn, East New York and Starrett City (CD5),305,8.7 ,8.0 ,9.9 ,
Winter 2008-09,Brooklyn, East New York and Starrett City (CD5),305,13.4 ,12.6 ,14.6 ,
Winter 2009-10,Brooklyn, East New York and Starrett City (CD5),305,10.2 ,9.3 ,11.4 ,
Winter 2010-11,Brooklyn, East New York and Starrett City (CD5),305,12.3 ,11.6 ,13.5 ,
Winter 2011-12,Brooklyn, East New York and Starrett City (CD5),305,9.0 ,8.2 ,10.1 ,
Winter 2012-13,Brooklyn, East New York and Starrett City (CD5),305,10.3 ,9.5 ,11.4 ,
Winter 2013-14,Brooklyn, East New York and Starrett City (CD5),305,11.6 ,10.9 ,12.8 ,
Summer 2009,Queens, Elmhurst and Corona (CD4),404,10.8 ,10.3 ,11.4 ,
Summer 2010,Queens, Elmhurst and Corona (CD4),404,12.0 ,11.6 ,12.6 ,
Summer 2011,Queens, Elmhurst and Corona (CD4),404,11.6 ,11.2 ,12.2 ,
Summer 2012,Queens, Elmhurst and Corona (CD4),404,10.5 ,10.0 ,11.1 ,
Summer 2013,Queens, Elmhurst and Corona (CD4),404,10.5 ,10.0 ,11.1 ,
Summer 2014,Queens, Elmhurst and Corona (CD4),404,8.7 ,8.2 ,9.2 ,
Winter 2008-09,Queens, Elmhurst and Corona (CD4),404,13.4 ,12.9 ,14.1 ,
Winter 2009-10,Queens, Elmhurst and Corona (CD4),404,9.9 ,9.4 ,10.6 ,
Winter 2010-11,Queens, Elmhurst and Corona (CD4),404,12.7 ,12.3 ,13.2 ,
Winter 2011-12,Queens, Elmhurst and Corona (CD4),404,9.3 ,9.0 ,9.9 ,
Winter 2012-13,Queens, Elmhurst and Corona (CD4),404,10.4 ,10.0 ,11.0 ,
Winter 2013-14,Queens, Elmhurst and Corona (CD4),404,12.0 ,11.6 ,12.6 ,
Summer 2009,Manhattan, Financial District (CD1),101,13.2 ,12.6 ,13.6 ,
Summer 2010,Manhattan, Financial District (CD1),101,13.8 ,13.3 ,14.1 ,
Summer 2011,Manhattan, Financial District (CD1),101,13.2 ,12.8 ,13.6 ,
Summer 2012,Manhattan, Financial District (CD1),101,12.3 ,11.8 ,12.6 ,
Summer 2013,Manhattan, Financial District (CD1),101,12.2 ,11.7 ,12.6 ,
Summer 2014,Manhattan, Financial District (CD1),101,10.9 ,10.4 ,11.3 ,
Winter 2008-09,Manhattan, Financial District (CD1),101,15.7 ,15.0 ,16.3 ,
Winter 2009-10,Manhattan, Financial District (CD1),101,12.3 ,11.4 ,13.0 ,
Winter 2010-11,Manhattan, Financial District (CD1),101,14.8 ,14.3 ,15.2 ,
Winter 2011-12,Manhattan, Financial District (CD1),101,11.6 ,11.0 ,12.1 ,
Winter 2012-13,Manhattan, Financial District (CD1),101,12.8 ,12.2 ,13.2 ,
Winter 2013-14,Manhattan, Financial District (CD1),101,14.5 ,14.0 ,14.9 ,
Summer 2009,Brooklyn, Flatbush and Midwood (CD14),314,10.8 ,10.5 ,11.1 ,
Summer 2010,Brooklyn, Flatbush and Midwood (CD14),314,11.7 ,11.5 ,12.1 ,
Summer 2011,Brooklyn, Flatbush and Midwood (CD14),314,11.3 ,11.1 ,11.7 ,
Summer 2012,Brooklyn, Flatbush and Midwood (CD14),314,10.2 ,10.0 ,10.6 ,
Summer 2013,Brooklyn, Flatbush and Midwood (CD14),314,10.1 ,9.8 ,10.4 ,
Summer 2014,Brooklyn, Flatbush and Midwood (CD14),314,8.6 ,8.3 ,9.1 ,
Winter 2008-09,Brooklyn, Flatbush and Midwood (CD14),314,12.8 ,12.1 ,13.5 ,
Winter 2009-10,Brooklyn, Flatbush and Midwood (CD14),314,10.2 ,9.7 ,10.8 ,
Winter 2010-11,Brooklyn, Flatbush and Midwood (CD14),314,12.5 ,12.1 ,13.1 ,
Winter 2011-12,Brooklyn, Flatbush and Midwood (CD14),314,9.2 ,8.7 ,9.8 ,
Winter 2012-13,Brooklyn, Flatbush and Midwood (CD14),314,10.2 ,9.9 ,10.6 ,
Winter 2013-14,Brooklyn, Flatbush and Midwood (CD14),314,11.6 ,11.3 ,12.1 ,
Summer 2009,Brooklyn, Flatlands and Canarsie (CD18),318,10.3 ,9.8 ,11.1 ,
Summer 2010,Brooklyn, Flatlands and Canarsie (CD18),318,11.4 ,10.9 ,12.2 ,
Summer 2011,Brooklyn, Flatlands and Canarsie (CD18),318,11.1 ,10.6 ,11.8 ,
Summer 2012,Brooklyn, Flatlands and Canarsie (CD18),318,9.9 ,9.5 ,10.7 ,
Summer 2013,Brooklyn, Flatlands and Canarsie (CD18),318,9.8 ,9.3 ,10.6 ,
Summer 2014,Brooklyn, Flatlands and Canarsie (CD18),318,8.2 ,7.6 ,9.1 ,
